translation_id,final_translation
T_01c08e93c0bc_g1,需要：[MURPHY] iPhone 13 Pro Max（帽子类别，左侧）
T_25da20f9cd81_g1,10 个悲伤 / 哭泣情绪姿势
T_262b48db4a8f_g1,单人模拟市民坐在椅子上的邪恶 / 傲慢情绪姿势！
T_26766f6000b2_g1,2023 万圣节
T_2769a7d7f96b_g1,6 个单人姿势 + 12 个双人姿势 + 4 个一体式合集。需要 [AnotherSimsStory]-HospitalBedFlat、PillowFlat 和 BlanketShortCurved
T_2eb70ba5fc36_g1,10 个使用盘子的争吵姿势（手指类别 - Musae）
T_860b61b2a654_g1,适用于新闻主播模拟市民或任何对话场景的姿势。9 个坐在桌前、5 个不带桌子的坐姿，以及 7 个站姿。
T_b1690ed4cb74_g1,MB_ Whiskeybottle（右）& RH Glass
T_c34704b9d1d4_g1,12 个单人姿势（每个各有 2 个版本）+ 2 个一体式合集。使用女性骨骼制作。
T_d63edc9ad464_g1,12 个单人姿势（每个各有 3 个版本）+ 3 个一体式合集。包含一套修改版男性骨骼和一套普通男性骨骼。
T_e6977e5193e4_g1,表达情绪 / 感受的面部表情与肢体语言
T_e6f205b28a74_g1,适用于双人床的别扭睡姿
T_e909bbe82949_g1,8 个姿势，应该适用于任何床
T_ea2ed1d52385_g1,用于普通桌子，需要 Soloriya 制作的啤酒配件
T_eb4c275c9651_g1,10 个两名模拟市民争吵的姿势（右侧 Samsung：MUSAE；右侧 iPhone 13：BRADFORD）
