translation_id,source_text,translation,action,reason,notes
T_036cf5f581c9_g1,,各种单人模拟市民显得不耐烦 / 受够了的姿势,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_061ab122506f_g1,,情侣主题姿势包。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_09a6648bb31b_g1,,恋足姿势包。15 个床上姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_12d4172f4699_g1,,6 个双人姿势 + 2 个一体式合集。使用基础游戏物品。需要一张三人座沙发。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_14582fa4dd9c_g1,,一名模拟市民殴打另一名模拟市民，第三名在一旁观看。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_2b0af9ae29bd_g1,,需要 redheadsims 制作的 iPhone11ProMax（左）。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_2df236dc6321_g1,,需要 natalia auditore 制作的 iPhone。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_33a938971503_g1,,情侣在海滩上嬉戏调情的姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_362215bb36a6_g1,,扶手椅上的 25 个恋足姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_3b5616fd40eb_g1,,温柔浪漫的情侣连续姿势，其中一名模拟市民处于孕早期。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_42698a1df123_g1,,适用于单人床的积极 / 消极思考与白日梦情绪姿势。（双人床也可使用，但可能会有些穿模）,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_4c88e3343655_g1,,一个出了岔子的玩笑——坐着的模拟市民与站着的模拟市民交谈。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_507baf733001_g1,,一个完整且原创、包含大量站姿的姿势包！,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_50b03c3b9e2d_g1,,5 个快乐情绪姿势，包含站姿、坐姿和不同朝向的变化版本。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_531b4a9ba1fc_g1,,5 个模拟市民扶正眼镜的站姿 / 坐姿。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
