translation_id,source_text,translation,action,reason,notes
T_84515fb8cf5f_g1,RosieSimsie_NSFW_CouplePoses_AllYours,RosieSimsie_NSFW_情侣姿势_全属于你,TRANSLATE,TITLE B类人工 final 2026-08-15: 玩家可见语义标题 -> 人工定稿, 禁止再送模型,TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog
T_df49e145de09_g1,motherlode_fight,motherlode_打斗,TRANSLATE,TITLE B类人工 final 2026-08-15: 玩家可见语义标题 -> 人工定稿, 禁止再送模型,TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog
T_1296d0b19078_g1,[Raspberrywhimss] Sweet Like Cinammon,[Raspberrywhimss] 肉桂般甜蜜,TRANSLATE,TITLE B类人工 final 2026-08-15: 旧模型内容错译 (香草味肉桂) -> 人工定稿 肉桂般甜蜜, 禁止再送模型,TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog
T_438c8bd18eda_g1,[ROSELIPA] 2AM,[ROSELIPA] 凌晨2点,TRANSLATE,TITLE B类人工 final 2026-08-15: 无语义可翻段 -> 人工定稿 凌晨2点, 禁止再送模型,TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog
T_13c6d6d4a216_g1,[Jarride]xLienaEnna - Azure Vines,[Jarride]xLienaEnna - 蔚蓝藤蔓,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_280bb1d748bc_g1,Loulicorn - Pretty Smile Poses,Loulicorn - 甜美笑容姿势,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_2843df4478ea_g1,(simmer_creator) - Call Gone Wrong,(simmer_creator) - 出了岔子的通话,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_2aa07a92a518_g1,Grownasssimmer Love & Pride Pose Pack,Grownasssimmer 爱与骄傲姿势包,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_3805b0f81875_g1,Acha sadness poses,Acha 悲伤姿势,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_392e2dd4f2e8_g1,(simmer_creator) - Don't leave me,(simmer_creator) - 别离开我,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_3ab25d9b5361_g1,(simmer_creator) - Bathside Romance,(simmer_creator) - 浴缸边的浪漫,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_41c3ad5f4132_g1,NA_Arrested posepack,NA_被捕姿势包,TRANSLATE,"TITLE retry_v2 QA_FAIL 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_88857f5e38a7_g1,[AA] I'm here,[AA] 我在这里,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_4bc3734ec858_g1,Grownasssimmer Bro Talk Pose Pack,Grownasssimmer 哥们聊天姿势包,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_75b06ea9da3f_g1,NA_Tender love posepack,NA_温柔之爱姿势包,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_962602977185_g1,Wait... It's You! - Pose Pack,等等...是你！ - 姿势包,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_c92889857bab_g1,Grownasssimmer Kaley - Mean Girl with a Heart of Gold Pose Pack,Grownasssimmer Kaley - 内心善良的坏女孩姿势包,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
T_cbfa7c4886df_g1,Foot Fetish Poses,恋足姿势,TRANSLATE,"TITLE retry_v2 DONE 内容修正 2026-08-15 人工定稿, 禁止再送模型","TITLE manual final TRANSLATE (c26_title_manual) 独立人工 reconciliation, 不改旧 frozen catalog"
