translation_id,final_translation
T_4749a45c4728_g1,3-1 站立姿势
T_5aa0edd87187_g1,椅子 抽烟 待机 1.A
T_c917a45dafef_g1,椅子 抽烟 待机 1.B
T_5d28cdfee711_g1,悲伤 - 握着胳膊，低头，稍微咬牙
T_7111d3baf7a5_g1,亲密甜点（女性）
T_acb1bf6bf5af_g1,亲密甜点（男性）
T_a63473071255_g1,姿势6 - 查看牙齿
T_a73158881d50_g1,侧躺；咬拇指指甲
T_db76d13f5886_g1,姿势2 - 镜子前 - 中性
T_dbb36dbc94bd_g1,愤怒 - 双臂在侧，握拳，愤怒地目视前方
T_24ab3ee5560b_g1,姿势3 - 替代表情 - 恼怒
T_356b0d740898_g1,Ga 担忧2 张嘴
T_7993ef460068_g1,操，我忘了这事
T_a9cb7701ada5_g1,(Pandora) 纯爱!!!
T_b06a39e5f946_g1,床边诱惑者 - 我在这里（男性）
T_b0769a8720f4_g1,床边诱惑者 - 我在这里（女性）
T_5b25cfe3029f_g1,Eleven 施展超能力
T_a53ea7575484_g1,乖男孩 - 挚爱（男性）
T_e92c2c1d35d1_g1,乖男孩 - 挚爱（女性）
T_d43360b5ec74_g1,4/ M（需要 Natalia Auditore iPhone）
T_aa657c8ef21a_g1,额外 A
T_e32aa4a9cbb8_g1,额外 B（无配件）
