translation_id,source_text,translation,action,reason,notes
T_08d2d272d0e3_g1,2 F V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_137e17d37117_g1,C1-3 M,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_2a16c572668a_g1,C1-3 F,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_2a7b44590c70_g1,A 1-3 M,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_490f35253b9f_g1,B1-3 F,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_4ce55321a8dc_g1,3 F V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_51c847f28283_g1,3 M V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_59abd1825337_g1,1 F V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_643b47bc579e_g1,11 A2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_680a46379402_g1,12 A1,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_714e35f601cd_g1,8 *animation,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_75f68ccf7e55_g1,intro-obj,,KEEP,TECHNICAL_LABEL,技术内部标识(_is_technical_identifier 命中)
T_8b396f46dd8f_g1,C2 M,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_a26953d8dab3_g1,B1-3 M,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_ae6a4f4e1b6c_g1,2 M V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_af29cbf99c88_g1,A 1-3 F,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_bb13c54eb913_g1,4/ F V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_c2026cc0ae5b_g1,intro-npc,,KEEP,TECHNICAL_LABEL,技术内部标识(_is_technical_identifier 命中)
T_c2403fc14f52_g1,4/ M V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_c71e0fca20b9_g1,C1 F,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_c9a784d75f4d_g1,12 A2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_e599ec4f8f9d_g1,placeholderIntro,,KEEP,TECHNICAL_LABEL,技术内部标识(_is_technical_identifier 命中)
T_efdea1496136_g1,C2 F,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_f1c4cea0c475_g1,4 F V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_f216b702c4d3_g1,4 M V2,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
T_f9aa7eea22ee_g1,C1 M,,KEEP,NON_SEMANTIC_TAG,编号/性别/版本/变体 Pose label; semantic_tokens==[] (translate_mode_for KEEP)
